Sample	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Black-Ab-F_Hg738_slp_realigned	358	359.137875					
Black-Ab-F_S21_L005_R1_001			27.60883357659823	42.0	150.0	16.666666666666664	193672291.0
Black-Ab-F_S21_L005_R2_001			24.900258616706665	42.0	150.0	16.666666666666664	193672291.0
Black-Ab-M_Hg738_slp_realigned	360	373.978577					
Black-Ab-M_S22_L005_R1_001			28.039423594691186	42.0	150.0	25.0	136560679.0
Black-Ab-M_S22_L005_R2_001			26.034329427156564	42.0	150.0	25.0	136560679.0
Green-Ab-F_Hg738_slp_realigned	296	323.054679					
Green-Ab-F_S24_L006_R1_001			36.93952577582619	42.0	150.0	25.0	206310990.0
Green-Ab-F_S24_L006_R2_001			34.251257061426344	42.0	150.0	25.0	206310990.0
Green-Ab-M_Hg738_slp_realigned	279	309.162046					
Green-Ab-M_S23_L006_R1_001			20.37273362197712	42.0	150.0	16.666666666666664	153775883.0
Green-Ab-M_S23_L006_R2_001			17.76782350700411	42.0	150.0	16.666666666666664	153775883.0
PinAb-32_Hg738_slp_realigned	531	525.002804					
PinAb-32_S6_L005_R1_001			22.986341411910715	40.0	147.57469425164427	8.333333333333332	123889219.0
PinAb-32_S6_L005_R2_001			18.33338351504716	41.0	146.59936083703943	8.333333333333332	123889219.0
PinAb-55_Hg738_slp_realigned	557	553.595211					
PinAb-55_S7_L005_R1_001			24.17533446133538	41.0	147.73318412852646	8.333333333333332	184458311.0
PinAb-55_S7_L005_R2_001			18.99158828314404	41.0	146.3785748423122	8.333333333333332	184458311.0
Pink-Ab-F_Hg738_slp_realigned	324	332.126733					
Pink-Ab-F_S25_L007_R1_001			32.88813078377211	42.0	150.0	25.0	157717622.0
Pink-Ab-F_S25_L007_R2_001			30.420433843771605	43.0	150.0	25.0	157717622.0
Pink-Ab-M_Hg738_slp_realigned	351	350.504309					
Pink-Ab-M_S26_L007_R1_001			28.895384682922227	42.0	150.0	16.666666666666664	194495882.0
Pink-Ab-M_S26_L007_R2_001			25.97993314988966	42.0	150.0	16.666666666666664	194495882.0
RedAb-103F_Hg738_slp_realigned	418	409.74101					
RedAb-103F_S27_L008_R1_001			16.93381297099853	42.0	150.0	8.333333333333332	134385671.0
RedAb-103F_S27_L008_R2_001			14.113890678350543	42.0	150.0	8.333333333333332	134385671.0
RedAb-105M_Hg738_slp_realigned	370	371.557991					
RedAb-105M_S28_L008_R1_001			25.883351147834873	42.0	150.0	16.666666666666664	240938265.0
RedAb-105M_S28_L008_R2_001			21.942244930858493	42.0	150.0	16.666666666666664	240938265.0
White-Ab-F_Hg738_slp_realigned	509	513.32918					
White-Ab-F_S3_L003_R1_001			19.694155657308983	41.0	146.72048657219844	25.0	170264804.0
White-Ab-F_S3_L003_R2_001			17.08304722354177	41.0	145.6345877742296	16.666666666666664	170264804.0
White-Ab-M_Hg738_slp_realigned	505	508.689851					
White-Ab-M_S2_L003_R1_001			19.271170077360395	41.0	147.436355438978	16.666666666666664	162936649.0
White-Ab-M_S2_L003_R2_001			16.48672224295379	42.0	145.4914889528629	8.333333333333332	162936649.0
