Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
Black-Ab-F_Hg738_slp_realigned_FR	Black-Ab-F_Hg738_slp_realigned	361.0	392.0	114.0	2.0	12150979.0	359.137875	181.028192	119975364.0	FR	43.0	85.0	129.0	177.0	229.0	287.0	357.0	445.0	575.0	685.0	3149.0			
Black-Ab-M_Hg738_slp_realigned_FR	Black-Ab-M_Hg738_slp_realigned	363.0	19.0	142.0	2.0	12893551.0	373.978577	211.427491	84524878.0	FR	57.0	113.0	171.0	227.0	285.0	345.0	409.0	491.0	621.0	797.0	3145.0			
Green-Ab-F_Hg738_slp_realigned_FR	Green-Ab-F_Hg738_slp_realigned	299.0	19.0	131.0	2.0	12757725.0	323.054679	198.096703	104574278.0	FR	59.0	115.0	167.0	217.0	263.0	311.0	371.0	451.0	561.0	807.0	3113.0			
Green-Ab-M_Hg738_slp_realigned_FR	Green-Ab-M_Hg738_slp_realigned	282.0	19.0	123.0	2.0	12327281.0	309.162046	189.567394	99746999.0	FR	57.0	109.0	159.0	203.0	247.0	293.0	353.0	431.0	549.0	791.0	2915.0			
PinAb-32_Hg738_slp_realigned_FR	PinAb-32_Hg738_slp_realigned	534.0	539.0	142.0	2.0	12056959.0	525.002804	251.327469	80660674.0	FR	49.0	97.0	151.0	211.0	285.0	375.0	503.0	685.0	859.0	991.0	3915.0			
PinAb-55_Hg738_slp_realigned_FR	PinAb-55_Hg738_slp_realigned	560.0	554.0	137.0	2.0	12240149.0	553.595211	252.234301	116599808.0	FR	47.0	95.0	147.0	205.0	275.0	359.0	483.0	683.0	895.0	1033.0	4397.0			
Pink-Ab-F_Hg738_slp_realigned_FR	Pink-Ab-F_Hg738_slp_realigned	327.0	19.0	126.0	2.0	12770801.0	332.126733	186.948572	90843349.0	FR	51.0	99.0	149.0	201.0	253.0	307.0	369.0	445.0	557.0	683.0	3125.0			
Pink-Ab-M_Hg738_slp_realigned_FR	Pink-Ab-M_Hg738_slp_realigned	354.0	19.0	120.0	2.0	12098415.0	350.504309	189.747135	117134967.0	FR	45.0	89.0	135.0	185.0	241.0	305.0	385.0	475.0	597.0	695.0	3449.0			
RedAb-103F_Hg738_slp_realigned_FR	RedAb-103F_Hg738_slp_realigned	419.0	430.0	104.0	2.0	11231729.0	409.74101	171.373112	110666817.0	FR	37.0	75.0	115.0	159.0	209.0	269.0	349.0	455.0	577.0	677.0	993.0			
RedAb-105M_Hg738_slp_realigned_FR	RedAb-105M_Hg738_slp_realigned	371.0	386.0	136.0	2.0	12033646.0	371.557991	192.471465	175921113.0	FR	43.0	91.0	143.0	207.0	273.0	339.0	399.0	469.0	581.0	703.0	1261.0			
White-Ab-F_Hg738_slp_realigned_FR	White-Ab-F_Hg738_slp_realigned	511.0	497.0	119.0	2.0	12533980.0	513.32918	220.854581	129884429.0	FR	43.0	85.0	131.0	181.0	239.0	311.0	413.0	583.0	789.0	931.0	3661.0			
White-Ab-M_Hg738_slp_realigned_FR	White-Ab-M_Hg738_slp_realigned	507.0	491.0	119.0	2.0	12807990.0	508.689851	220.42015	125519469.0	FR	43.0	85.0	131.0	181.0	239.0	311.0	413.0	581.0	787.0	925.0	3587.0			
